accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
3,1,1,1,130,2,1125,5
2,1,1,1,210,3,20,11
6,2.5,3,3,497,1,1125,51
2,1,0,1,100,3,1125,1
6,3,2,2,300,1,1125,1
3,1,0,2,108,1,1125,1
6,2.5,2,2,300,4,1125,0
4,1,1,2,75,1,1125,4
2,1,1,1,120,1,14,15
2,1,1,1,249,4,730,0
2,1,1,1,100,1,1125,1
4,1,1,1,125,2,365,27
1,1,0,1,145,1,1125,2
4,2,2,2,330,2,1125,17
1,1,1,1,60,2,93,6
2,1.5,1,1,69,1,1125,77
4,1,1,2,130,3,1125,15
2,1,1,1,129,3,90,71
2,1,1,1,249,4,730,0
6,1,1,3,79,1,29,2
4,1,1,2,164,2,365,23
6,2,2,3,164,1,27,0
4,2,2,2,299,1,1125,9
2,1,1,1,130,2,8,10
2,1,1,1,125,2,4,8
2,1,1,1,190,2,6,0
2,1.5,1,1,125,1,3,0
2,1,1,1,65,3,365,3
2,1.5,1,1,75,2,14,15
1,2,1,1,85,1,1125,1
5,2,2,3,229,3,1125,0
15,3,6,9,500,1,28,41
6,1,1,4,250,1,14,6
5,1,1,2,117,6,1125,6
11,2.5,3,3,298,2,60,69
6,1,2,4,200,1,1125,8
4,1,1,2,110,1,1125,0
2,1,0,1,120,1,1125,38
10,3,3,6,450,2,1125,6
4,1,1,2,99,2,365,54
8,0,2,4,275,2,7,7
2,1,1,1,185,2,14,0
5,1,1,2,120,1,1125,2
2,1,0,1,150,1,1125,4
3,1,1,1,121,1,7,2
2,1,1,1,75,1,1125,0
2,1,0,1,105,4,32,26
2,1,0,1,150,1,1125,4
4,1,0,1,100,2,1125,4
4,2,2,2,249,7,365,0
5,1,2,2,275,2,1125,15
4,2,2,2,160,2,1125,12
6,3.5,3,3,475,3,1125,1
2,1,0,1,115,3,365,41
6,2.5,1,16,45,1,1125,2
6,2.5,2,2,150,3,29,51
2,1,1,1,90,3,1125,5
4,1,1,2,217,4,1125,5
2,2,1,1,97,2,14,5
14,3,5,7,399,1,1125,2
4,1,0,2,118,1,14,28
4,1,1,2,130,4,90,31
6,1,1,6,36,1,1125,11
4,1,1,1,100,1,1125,0
3,1,1,1,125,2,1125,1
7,2,1,4,300,3,1125,8
4,2,2,2,199,2,366,0
4,1.5,2,2,150,1,1125,2
2,1,0,1,125,2,10,23
2,1,1,1,110,1,30,157
4,2,2,2,320,3,1125,0
2,1,1,1,88,1,1125,1
5,3,3,2,329,1,1125,4
2,1,1,1,99,1,1125,3
1,1,1,1,59,2,1125,8
6,1,2,2,70,3,365,80
2,1,1,1,75,1,1125,0
3,1,1,3,70,1,14,9
1,1,1,1,1300,1,1125,0
1,1,1,1,58,2,20,6
2,1,1,1,55,1,1125,1
2,1,1,1,47,1,1125,50
2,1,1,1,60,1,31,36
4,1,1,2,135,2,7,4
3,1,1,2,89,4,120,75
6,1,1,5,150,1,1125,18
1,1,1,1,65,1,1125,1
5,1,1,2,109,2,365,28
4,1,,3,99,2,365,68
2,1,1,1,69,2,1125,17
4,2.5,2,2,300,7,1125,0
4,1,1,2,114,3,1125,18
1,1,1,1,100,4,1125,0
1,1,1,1,69,2,365,5
6,3.5,3,4,350,2,1125,1
1,1,1,1,100,2,180,13
1,1,1,1,115,4,1125,0
2,1,,1,99,2,365,19
1,1,1,1,43,1,1125,0
1,1,1,1,50,1,1125,0
9,2,4,4,380,3,1125,1
2,1,1,1,80,3,365,14
2,1,1,1,149,4,109,8
1,1,1,1,39,1,1125,0
3,1,1,3,50,1,1125,1
5,1,0,1,115,3,1125,15
9,3.5,5,6,850,1,1125,0
1,1,1,1,58,14,1125,0
11,4.5,6,11,650,7,1125,2
4,1,1,2,150,6,30,5
2,1,1,1,99,2,45,1
4,1,,2,110,2,365,33
1,1,1,1,40,1,1125,0
2,1,1,1,110,4,1125,0
3,1,1,1,165,1,1125,4
5,2.5,1,4,600,4,1125,0
8,4,5,6,299,2,1125,8
2,1,1,2,120,1,1125,1
6,2.5,3,4,260,3,60,28
2,1,1,1,125,1,1125,4
8,4.5,4,5,500,3,1125,8
3,1,1,2,175,1,1125,2
1,2,1,1,33,1,1125,10
3,1,1,3,40,1,1125,46
2,2,1,1,60,1,365,67
2,1,1,2,33,1,1125,34
1,1,1,1,50,1,1125,7
2,1,1,1,49,1,1125,11
1,1,1,3,38,2,1125,2
2,1,1,1,65,1,1125,2
2,1,1,1,49,1,1125,3
2,1,1,1,59,2,11,66
4,2,2,2,200,2,28,0
5,1,1,3,113,1,1125,0
8,2,4,4,250,2,1125,13
6,1,1,3,65,2,365,9
5,2.5,3,4,169,4,30,4
16,1,1,1,1000,1,1125,0
4,1,1,1,99,1,1125,0
4,1,2,2,145,3,1125,6
2,1,2,2,115,1,1125,4
2,1,1,1,100,1,1125,11
2,1,1,1,55,3,1125,4
1,1,1,1,55,1,1125,0
1,1,1,1,34,1,1125,0
